epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7938,1.1384,1.52014,0.61629,0.85589,0.83006,0.38872,0.49155,0.29841,0.83779,0.37197,0.48219,0.23517,1.41473,2.3712,0.78043,0.93784,2e-05,2e-05,2e-05
2,44.1928,1.17751,1.5628,0.63115,0.86673,0.85972,0.38581,0.49001,0.29803,0.83029,0.37197,0.4808,0.22354,1.4189,2.3556,0.7885,0.93954,5.99935e-05,5.99935e-05,5.99935e-05
3,65.4884,1.12584,1.49485,0.61582,0.85101,0.78656,0.39529,0.49099,0.29056,0.76295,0.38408,0.48367,0.22275,1.44983,2.41333,0.80005,0.94531,9.99566e-05,9.99566e-05,9.99566e-05
4,99.7991,1.18422,1.55952,0.63092,0.88253,0.82064,0.3958,0.49643,0.29264,0.78198,0.37853,0.48018,0.22678,1.43631,2.45458,0.79918,0.94035,0.000139863,0.000139863,0.000139863
5,135.33,0.99873,1.34372,0.57516,0.85937,0.73594,0.41951,0.49491,0.29827,0.73719,0.40764,0.48873,0.23853,1.37169,2.47392,0.77027,0.92398,0.000179688,0.000179688,0.000179688
6,156.881,1.18843,1.60549,0.62396,0.85334,0.75678,0.40373,0.49135,0.30134,0.74679,0.398,0.49515,0.2401,1.35444,2.5385,0.76891,0.92789,0.000219403,0.000219403,0.000219403
7,179.086,1.16498,1.56921,0.63027,0.85483,0.75318,0.39792,0.49007,0.30034,0.74663,0.39446,0.49579,0.23633,1.35428,2.60958,0.77816,0.9287,0.000258985,0.000258985,0.000258985
8,200.186,1.20685,1.56933,0.63521,0.8519,0.79511,0.40284,0.49288,0.29977,0.74865,0.391,0.48785,0.23178,1.35503,2.5267,0.77684,0.9267,0.000298407,0.000298407,0.000298407
9,220.259,1.05864,1.42964,0.59178,0.84824,0.79912,0.40138,0.49036,0.29204,0.71615,0.38408,0.46464,0.21349,1.38871,2.52599,0.79614,0.92924,0.000337643,0.000337643,0.000337643
10,241.323,1.19011,1.46064,0.62977,0.84982,0.73584,0.39965,0.48088,0.27072,0.69782,0.39965,0.46528,0.21082,1.47041,2.6095,0.83702,0.94547,0.000376668,0.000376668,0.000376668
11,261.119,1.16203,1.5876,0.6448,0.88465,0.78384,0.38581,0.47317,0.25652,0.67427,0.39619,0.46445,0.21488,1.52203,2.72389,0.86352,0.9588,0.000415457,0.000415457,0.000415457
12,281.628,1.11507,1.51397,0.61093,0.86346,0.78384,0.38581,0.47317,0.25652,0.67427,0.39619,0.46445,0.21488,1.52203,2.72389,0.86352,0.9588,0.000453984,0.000453984,0.000453984
13,302.973,1.35222,1.89889,0.71485,0.87654,0.80479,0.40138,0.48135,0.25777,0.78348,0.391,0.4818,0.22588,1.53686,2.73486,0.87068,0.96367,0.000492224,0.000492224,0.000492224
14,324.25,1.32005,1.72652,0.67361,0.87063,0.78902,0.41176,0.48084,0.26944,0.75482,0.40311,0.48963,0.23019,1.51339,2.63931,0.85752,0.96001,0.000530153,0.000530153,0.000530153
15,345.918,1.29441,1.64218,0.68925,0.84397,0.78902,0.41176,0.48084,0.26944,0.75482,0.40311,0.48963,0.23019,1.51339,2.63931,0.85752,0.96001,0.000567746,0.000567746,0.000567746
16,367.203,1.30467,1.74669,0.67842,0.89709,0.76376,0.40832,0.48463,0.2818,0.72555,0.39273,0.47332,0.21737,1.50433,2.5722,0.83194,0.95063,0.000604979,0.000604979,0.000604979
